1;Acepta la incertidumbre;Acepta que no sabes todo y que es normal sentir dudas ante un examen, esto te ayudará a no sobrecargarte.
2;Piensa positivamente;Trata de mantener una actitud positiva y enfócate en todas las cosas que has aprendido en lugar de preocuparte por lo que no sabes.
3;Identifica tus pensamientos tóxicos;Identifica estos pensamientos sobre los exámenes, como "No voy a aprobar", "Soy un fracaso", etc., te ayudará a cambiarlos.
4;Bloquea y cambia tus pensamientos negativos;Ante un pensamiento negativo di “Para” o “Stop” y trata de ver la situación desde una perspectiva más objetiva, esto te ayudará a ver la realidad de la situación.
5;Empodérate;Estas sencillas posturas corporales dan seguridad y confianza al instante.
6;Acepta la ansiedad;Tener ansiedad de manera puntual es normal y nos puede ayudar a estar más concentrados. No es un peligro para ti.
7;Dialoga contigo mismo;Lee despacio este texto cuando tengas un ataque de ansiedad: “Todos estos síntomas que estás sintiendo ahora mismo, aunque sean desagradables, NO SON PELIGROSOS, NO VAS A MORIR, NI VAS A PERDER EL CONTROL DE TU RESPIRACIÓN. Esta crisis que estás sintiendo tiene un inicio, un pico máximo y un final. Esto quiere decir que hagas lo que hagas, va a terminar, aunque tú no hagas nada. Así que evita intentar controlar o luchar contra ella, eso lo empeorará. En vez de eso, escucha a tu cuerpo e intenta ponerle nombre a todo lo que estás sintiendo ahora mismo. Es tu cuerpo y la respuesta psicofisiológica que se desencadena cuando cree que está en peligro. Por lo tanto, son reacciones normales en mi cuerpo y no va a suceder algo terrible. ASÍ QUE RECUERDA: NO ESTÁS EN PELIGRO Y EN UNOS MINUTOS PASARÁ”.
8;Cambia tu foco atencional;Piensa o escribe: 5 cosas que puedas ver en este momento, 4 cosas que puedas tocar, 3 cosas que puedas escuchar, 2 cosas que puedas oler, 1 cosa que puedas saborear.
9;Establece una rutina;Crea una rutina previa al examen, da seguridad y confianza. Ejemplo: siéntate, prepara los bolígrafos, y haz tres inspiraciones lentas y profundas mientras piensas la frase “puedo con todo”.
10;Practica técnicas de relajación;Practica técnicas de relajación. Te puede ayudar a reducir la ansiedad y mejorar la capacidad de afrontar situaciones de examen. ¿Quieres conocerlas?
11;Usa metáforas;Lee despacio la siguiente metáfora: “imagina que estás en el mar, un sitio aparentemente tranquilo, y de repente, aparece una gran ola. Cuando se acerca nos da miedo y por instinto nos alejamos de ella, pero al alejarnos, la ola se vuelve más fuerte y atemorizante y aparentemente sigue persiguiéndonos. Mientras más te alejas de la ola, más grande se vuelve y terminará siendo más fuerte cuanto más te alejes. En cambio, si no evitas a la ola, el atropello será fuerte al principio, pero luego te secarás y seguirás disfrutando del mar. Si viene otra ola gigante, y sigues sin evitarla, sin duda será cada vez menor el atropello y el daño. Muchas veces los problemas son exactamente igual, nuestros pensamientos, recuerdos o emociones son desagradables de inicio, pero si huimos de ellos, lo único que haremos es hacerlos más grandes y darles más importancia. Sin embargo, si no los evitamos y, al contrario, los aceptamos tal cual son, aunque al inicio nos atormenten un poco, al final se volverán cotidianos y menor importantes, permitiéndonos ser más flexibles y permisivos con nosotros mismos”.
12;Identifica, bloquea y cambia;Identifica los pensamientos tóxicos sobre los exámenes, como "No voy a aprobar", "Soy un fracaso". Bloquea esos pensamientos, di “Para” o “Stop”. Trata de ver la situación desde una perspectiva más objetiva, esto te ayudará a ver la realidad de la situación.
13;Estudia todos los días;Estudia más veces las cosas, no más tiempo. Espacia las sesiones de estudio de un mismo tema. No te des el atracón solo el día anterior, corres el riesgo de bloquearte y quedarte en blanco.
14;Organízate;Lleva al día tu agenda. Prepara un horario de estudio y sigue un plan para cubrir todas las materias. Revisa tus técnicas de estudio (pregunta a tu orientador/a si tienes dudas) Resuelve con tu profesor todas las dudas de la materia.
15;Cuida tus hábitos;Duerme lo suficiente, sobre todo el día antes del examen (es necesario para una buena concentración), haz ejercicio físico, sigue una dieta equilibrada y saludable (evita las bebidas energizantes y el alcohol).
16;Busca apoyo;Habla con un amigo, familiar o profesor sobre tus preocupaciones y busca su apoyo.
17;Busca ayuda profesional;Si no puedes controlar tu estado de ansiedad y está afectando tu vida diaria, busca ayuda profesional.
18;Practica la autoobservación;Fíjate y apunta en qué momentos tienes ansiedad y estudia el porqué, eso te ayuda a saber cuáles son tus disparadores (varios exámenes la misma semana, por ejemplo) y anteponte a esa ansiedad: ● Cuándo ha pasado: El lunes al ver que tengo 3 exámenes. ● Qué estoy sintiendo: Ansiedad, me cuesta respirar... ● Ahora veo la situación desde fuera (como en los videojuegos de tercera persona) y la explicas ● Qué puedo hacer para afrontar la situación: enfócate en un examen y cuando termines con otro... ayúdate de técnicas de respiración y relajación…
19;Haz un plan que puedas cumplir;Si evitas exámenes o ir a clase o estudiar debido a tu ansiedad, establece metas alcanzables.
20;Poco a poco;Empieza por lo más sencillo (estudiar en casa), sigue con asistencia a clase, ve con confianza al examen.
